Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Last_Update
Wisconsin,US,45.84963535,-88.39804137,2,0,0,2,2020-04-27 2:30:52
Idaho,US,45.84721541,-115.4634436,3,0,0,3,2020-04-27 2:30:52
Maine,US,45.83839062,-69.2860223,1,0,0,1,2020-04-27 2:30:52
Washington,US,45.77568046,-122.4829204,297,18,0,279,2020-04-26 0:00:00
Minnesota,US,45.77298854,-96.47062949,2,0,0,2,2020-04-27 2:30:52
South Dakota,US,45.76626028,-99.22118798,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,45.75870838,-97.59855639,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,45.70889983,-101.1970473,1,0,0,1,2020-04-27 2:30:52
Wisconsin,US,45.70677897,-89.51944105,6,0,0,6,2020-04-27 2:30:52
Minnesota,US,45.69804958,-93.99514135,4,0,0,4,2020-04-27 2:30:52
Wisconsin,US,45.68051754,-90.3609888,1,0,0,1,2020-04-27 2:30:52
Montana,US,45.67071407,-109.3950061,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,45.62975048,-96.94672673,4,0,0,4,2020-04-27 2:30:52
Oregon,US,45.59073056,-118.7353826,36,0,0,36,2020-04-27 2:30:52
South Dakota,US,45.58994323,-98.35165355,30,0,0,30,2020-04-27 2:30:52
Michigan,US,45.58038692,-87.55370409,3,0,0,3,2020-04-27 2:30:52
Oregon,US,45.57894064,-117.183538,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,45.56181234,-93.29487636,6,0,0,6,2020-04-27 2:30:52
Oregon,US,45.55972701,-123.0955257,466,10,0,456,2020-04-27 2:30:52
Minnesota,US,45.55192576,-94.61078221,38,0,0,38,2020-04-27 2:30:52
Oregon,US,45.54747959,-122.4169351,652,37,0,615,2020-04-27 2:30:52
Montana,US,45.54486106,-111.1692571,146,0,0,146,2020-04-27 2:30:52
Michigan,US,45.52625509,-84.89083249,21,2,0,19,2020-04-27 2:30:52
Oregon,US,45.51872811,-121.6552036,5,0,0,5,2020-04-27 2:30:52
Maine,US,45.51229767,-69.95995554,17,0,0,17,2020-04-27 2:30:52
Minnesota,US,45.5021011,-92.90861945,7,1,0,6,2020-04-27 2:30:52
Montana,US,45.48965095,-110.5264394,7,0,0,7,2020-04-27 2:30:52
Wisconsin,US,45.47498854,-91.1333012,4,0,0,4,2020-04-27 2:30:52
Oregon,US,45.46248721,-123.712066,6,0,0,6,2020-04-27 2:30:52
Wisconsin,US,45.46130348,-92.44182875,4,0,0,4,2020-04-27 2:30:52
Michigan,US,45.44787015,-84.50122149,17,1,0,16,2020-04-27 2:30:52
Minnesota,US,45.44447208,-93.77617511,16,0,0,16,2020-04-27 2:30:52
